FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130109;1500;;;;
130109;1600;;;;
130109;1700;;;;
130109;1800;;;;
130109;1900;;;;
130109;2000;;;;
130109;2100;;;;
130109;2200;;;;
130109;2300;;;;
130110;0000;;;;
130110;0100;;;;
130110;0200;;;;
130110;0300;;;;
130110;0400;;;;
130110;0500;;;;
130110;0600;;;;
130110;0700;;;;
130110;0800;;;;
130110;0900;;;;
130110;1000;;;;
130110;1100;;;;
130110;1200;;;;
130110;1300;;;;
130110;1400;;;;
130110;1500;;;;
130110;1600;;;;
130110;1700;;;;
130110;1800;;;;
130110;1900;;;;
130110;2000;;;;
130110;2100;;;;
130110;2200;;;;
130110;2300;;;;
130111;0000;;4,3032;;
130111;0100;;7,60564;;
130111;0200;;9,70723;;
130111;0300;;6,10452;;
130111;0400;;6,40479;;
130111;0500;;10,5078;;
130111;0600;;15,2113;;
130111;0700;;9,0067;;
130111;0800;;5,80431;;
130111;0900;;7,0052;;
130111;1000;;5,20387;;
130111;1100;;4,20312;;
130111;1200;;4,00298;;
130111;1300;;4,7035;;
130111;1400;;5,20387;;
130111;1500;;4,60342;;
130111;1600;;5,20387;;
130111;1700;;4,40327;;
130111;1800;;4,90365;;
130111;1900;;10,0074;;
130111;2000;;10,9081;;
130111;2100;;6,60489;;
130111;2200;;4,20312;;
130111;2300;;4,40327;;
130112;0000;;4,40327;;
130112;0100;;4,10305;;
130112;0200;;4,10305;;
130112;0300;;4,10305;;
130112;0400;;4,10305;;
130112;0500;;4,10305;;
130112;0600;;4,00298;;
130112;0700;;4,10305;;
130112;0800;;4,00298;;
130112;0900;;3,80283;;
130112;1000;;4,00298;;
130112;1100;;3,80283;;
130112;1200;;4,00298;;
130112;1300;;3,50261;;
130112;1400;;3,60268;;
130112;1500;;3,70276;;
130112;1600;;4,20312;;
130112;1700;;4,80357;;
130112;1800;;4,40327;;
130112;1900;;4,40327;;
130112;2000;;5,40404;;
130112;2100;;5,5041;;
130112;2200;;5,30395;;
130112;2300;;4,50335;;
130113;0000;;5,30395;;
130113;0100;;4,7035;;
130113;0200;;4,90365;;
130113;0300;;4,20312;;
130113;0400;;4,00298;;
130113;0500;;3,9029;;
130113;0600;;4,10305;;
130113;0700;;3,9029;;
130113;0800;;5,70425;;
130113;0900;;4,20312;;
130113;1000;;4,20312;;
130113;1100;;3,9029;;
130113;1200;;4,10305;;
130113;1300;;4,90365;;
130113;1400;;4,80357;;
130113;1500;;4,10305;;
130113;1600;;5,30395;;
130113;1700;;4,50335;;
130113;1800;;7,80579;;
130113;1900;;8,30617;;
130113;2000;;8,80653;;
130113;2100;;7,80579;;
130113;2200;;7,70573;;
130113;2300;;9,0067;;
130114;0000;;6,50484;;
130114;0100;;8,30617;;
130114;0200;;7,70573;;
130114;0300;;6,60489;;
130114;0400;;12,0089;;
130114;0500;;8,106;;
130114;0600;;4,40327;;
130114;0700;;7,30543;;
130114;0800;;9,90738;;
130114;0900;;13,5101;;
130114;1000;;6,30468;;
130114;1100;;6,80505;;
130114;1200;;4,20312;;
130114;1300;;;;
130114;1400;;;;
130114;1500;;;;
130114;1600;;6,90516;;
130114;1700;;4,20312;;
130114;1800;;7,0052;;
130114;1900;;7,9059;;
130114;2000;;9,20685;;
130114;2100;;9,80728;;
130114;2200;;12,8095;;
130114;2300;;10,2076;;
130115;0000;;7,0052;;
130115;0100;;6,00446;;
130115;0200;;6,90516;;
130115;0300;;5,60415;;
130115;0400;;5,40404;;
130115;0500;;6,80505;;
130115;0600;;5,70425;;
130115;0700;;5,00372;;
130115;0800;;5,80431;;
130115;0900;;4,80357;;
130115;1000;;4,7035;;
130115;1100;;5,1038;;
130115;1200;;4,90365;;
130115;1300;;4,60342;;
130115;1400;;4,3032;;
130115;1500;;5,30395;;
130115;1600;;4,90365;;
130115;1700;;4,40327;;
130115;1800;;7,20537;;
130115;1900;;6,90516;;
130115;2000;;7,40553;;
130115;2100;;8,60637;;
130115;2200;;8,80653;;
130115;2300;;10,0074;;
130116;0000;;7,10526;;
130116;0100;;5,60415;;
130116;0200;;6,20463;;
130116;0300;;6,10452;;
130116;0400;;7,30543;;
130116;0500;;7,30543;;
130116;0600;;7,0052;;
130116;0700;;6,30468;;
130116;0800;;5,70425;;
130116;0900;;5,00372;;
130116;1000;;4,60342;;
130116;1100;;4,50335;;
130116;1200;;4,3032;;
130116;1300;;4,10305;;
130116;1400;;5,9044;;
130116;1500;;4,7035;;
130116;1600;;5,00372;;
130116;1700;;7,30543;;
130116;1800;;8,50632;;
130116;1900;;8,20612;;
130116;2000;;10,2076;;
130116;2100;;10,708;;
130116;2200;;5,70425;;
130116;2300;;10,1075;;
130117;0000;;17,9134;;
130117;0100;;12,4093;;
130117;0200;;6,60489;;
130117;0300;;6,20463;;
130117;0400;;8,20612;;
130117;0500;;5,5041;;
130117;0600;;5,80431;;
130117;0700;;5,40404;;
130117;0800;;5,1038;;
130117;0900;;5,30395;;
130117;1000;;4,3032;;
130117;1100;;6,60489;;
130117;1200;;5,1038;;
130117;1300;;4,20312;;
130117;1400;;4,7035;;
130117;1500;;4,3032;;
130117;1600;;5,60415;;
130117;1700;;4,60342;;
130117;1800;;4,3032;;
130117;1900;;4,90365;;
130117;2000;;7,60564;;
130117;2100;;9,70723;;
130117;2200;;7,80579;;
130117;2300;;5,40404;;
130118;0000;;4,60342;;
130118;0100;;5,9044;;
130118;0200;;7,40553;;
130118;0300;;6,20463;;
130118;0400;;7,0052;;
130118;0500;;7,70573;;
130118;0600;;6,60489;;
130118;0700;;9,40701;;
130118;0800;;11,5086;;
130118;0900;;9,60712;;
130118;1000;;5,5041;;
130118;1100;;4,7035;;
130118;1200;;4,3032;;
130118;1300;;4,10305;;
130118;1400;;4,20312;;
130118;1500;;5,70425;;
130118;1600;;5,1038;;
130118;1700;;6,20463;;
130118;1800;;8,40627;;
130118;1900;;11,1082;;
130118;2000;;13,6101;;
130118;2100;;13,2098;;
130118;2200;;9,50706;;
130118;2300;;11,7087;;
130119;0000;;19,5145;;
130119;0100;;12,8095;;
130119;0200;;7,9059;;
130119;0300;;5,80431;;
130119;0400;;5,1038;;
130119;0500;;5,20387;;
130119;0600;;6,10452;;
130119;0700;;5,00372;;
130119;0800;;5,1038;;
130119;0900;;6,00446;;
130119;1000;;6,10452;;
130119;1100;;5,9044;;
130119;1200;;5,20387;;
130119;1300;;5,20387;;
130119;1400;;5,1038;;
130119;1500;;4,10305;;
130119;1600;;4,10305;;
130119;1700;;4,50335;;
130119;1800;;4,90365;;
130119;1900;;5,30395;;
130119;2000;;10,4078;;
130119;2100;;13,7102;;
130119;2200;;8,70648;;
130119;2300;;7,20537;;
130120;0000;;9,3069;;
130120;0100;;11,5086;;
130120;0200;;11,7087;;
130120;0300;;13,9104;;
130120;0400;;6,40479;;
130120;0500;;4,90365;;
130120;0600;;5,1038;;
130120;0700;;4,40327;;
130120;0800;;4,50335;;
130120;0900;;4,40327;;
130120;1000;;5,30395;;
130120;1100;;5,80431;;
130120;1200;;5,5041;;
130120;1300;;4,40327;;
130120;1400;;4,3032;;
130120;1500;;5,5041;;
130120;1600;;4,80357;;
130120;1700;;4,60342;;
130120;1800;;5,80431;;
130120;1900;;6,80505;;
130120;2000;;7,30543;;
130120;2100;;5,80431;;
130120;2200;;6,30468;;
130120;2300;;6,20463;;
130121;0000;;6,10452;;
130121;0100;;5,5041;;
130121;0200;;13,8103;;
130121;0300;;6,50484;;
130121;0400;;5,40404;;
130121;0500;;5,40404;;
130121;0600;;7,0052;;
130121;0700;;7,40553;;
130121;0800;;9,60712;;
130121;0900;;8,60637;;
130121;1000;;6,50484;;
