FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170909;0700;;;1,93612;
170909;0800;;;1,93997;
170909;0900;;;1,9181;
170909;1000;;;1,89623;
170909;1100;;;1,91883;
170909;1200;;;1,95188;
170909;1300;;;1,90465;
170909;1400;;;1,90052;
170909;1500;;;1,91042;
170909;1600;;;1,91837;
170909;1700;;;1,91327;
170909;1800;;;1,90677;
170909;1900;;;1,89635;
170909;2000;;;1,91252;
170909;2100;;;1,90913;
170909;2200;;;1,91268;
170909;2300;;;1,91655;
170910;0000;;;1,91812;
170910;0100;;;1,90347;
170910;0200;;;1,90547;
170910;0300;;;1,92667;
170910;0400;;;1,93513;
170910;0500;;;1,92695;
170910;0600;;;1,93842;
170910;0700;;;1,91673;
170910;0800;;;1,90103;
170910;0900;;;1,89688;
170910;1000;;;1,89248;
170910;1100;;;1,8868;
170910;1200;;;1,88665;
170910;1300;;;1,89637;
170910;1400;;;1,90118;
170910;1500;;;1,90363;
170910;1600;;;1,90415;
170910;1700;;;1,90212;
170910;1800;;;1,89585;
170910;1900;;;1,89755;
170910;2000;;;1,89825;
170910;2100;;;1,917;
170910;2200;;;1,93438;
170910;2300;;;1,93142;
170911;0000;;;1,9395;
170911;0100;;;1,97095;
170911;0200;;;1,9818;
170911;0300;;;1,97948;
170911;0400;;;1,99397;
170911;0500;;;2,01335;
170911;0600;;;1,98202;
170911;0700;;;1,96712;
170911;0800;;;1,99832;
170911;0900;;;1,95438;
170911;1000;;;1,95305;
170911;1100;;;1,95965;
170911;1200;;;1,96148;
170911;1300;;;1,97538;
170911;1400;;;1,95937;
170911;1500;;;1,95015;
170911;1600;;;1,94667;
170911;1700;;;1,9322;
170911;1800;;;1,92425;
170911;1900;;;1,92382;
170911;2000;;;1,90742;
170911;2100;;;1,90708;
170911;2200;;;1,90102;
170911;2300;;;1,89372;
170912;0000;;;1,89647;
170912;0100;;;1,89543;
170912;0200;;;1,89833;
170912;0300;;;1,8983;
170912;0400;;;1,89657;
170912;0500;;;1,89637;
170912;0600;;;1,8971;
170912;0700;;;1,89782;
170912;0800;;;1,89482;
170912;0900;;;1,88888;
170912;1000;;;1,89258;
170912;1100;;;1,90103;
170912;1200;;;1,8981;
170912;1300;;;1,8988;
170912;1400;;;1,8937;
170912;1500;;;1,89338;
170912;1600;;;1,88747;
170912;1700;;;1,8808;
170912;1800;;;1,87772;
170912;1900;;;1,88183;
170912;2000;;;1,89087;
170912;2100;;;1,88907;
170912;2200;;;1,87972;
170912;2300;;;1,87732;
170913;0000;;;1,88228;
