FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130109;1400;;0,999084;;
130109;1500;;;;
130109;1600;;;;
130109;1700;;;;
130109;1800;;;;
130109;1900;;;;
130109;2000;;;;
130109;2100;;;;
130109;2200;;;;
130109;2300;;;;
130110;0000;;;;
130110;0100;;;;
130110;0200;;;;
130110;0300;;;;
130110;0400;;;;
130110;0500;;;;
130110;0600;;;;
130110;0700;;;;
130110;0800;;;;
130110;0900;;;;
130110;1000;;;;
130110;1100;;;;
130110;1200;;;;
130110;1300;;;;
130110;1400;;;;
130110;1500;;;;
130110;1600;;;;
130110;1700;;;;
130110;1800;;;;
130110;1900;;;;
130110;2000;;;;
130110;2100;;;;
130110;2200;;;;
130110;2300;;;;
130111;0000;;;;
130111;0100;;1,29881;;
130111;0200;;2,09808;;
130111;0300;;1,69844;;
130111;0400;;2,09808;;
130111;0500;;5,69476;;
130111;0600;;9,29149;;
130111;0700;;3,09716;;
130111;0800;;0,899176;;
130111;0900;;1,49863;;
130111;1000;;2,09808;;
130111;1100;;1,09899;;
130111;1200;;0,699359;;
130111;1300;;0,599449;;
130111;1400;;0,999084;;
130111;1500;;0,599449;;
130111;1600;;1,1989;;
130111;1700;;0,499542;;
130111;1800;;0,381679;;
130111;1900;;2,89734;;
130111;2000;;2,79744;;
130111;2100;;0,799267;;
130111;2200;;0,399634;;
130111;2300;;0,799267;;
130112;0000;;0,599449;;
130112;0100;;0,399634;;
130112;0200;;0,381679;;
130112;0300;;0,381679;;
130112;0400;;0,381679;;
130112;0500;;0,381679;;
130112;0600;;0,381679;;
130112;0700;;0,381679;;
130112;0800;;0,381679;;
130112;0900;;0,381679;;
130112;1000;;0,381679;;
130112;1100;;0,381679;;
130112;1200;;0,499542;;
130112;1300;;0,381679;;
130112;1400;;0,381679;;
130112;1500;;0,381679;;
130112;1600;;0,381679;;
130112;1700;;0,381679;;
130112;1800;;0,399634;;
130112;1900;;0,381679;;
130112;2000;;0,699359;;
130112;2100;;0,999084;;
130112;2200;;0,499542;;
130112;2300;;0,381679;;
130113;0000;;0,381679;;
130113;0100;;0,381679;;
130113;0200;;0,381679;;
130113;0300;;0,381679;;
130113;0400;;0,381679;;
130113;0500;;0,381679;;
130113;0600;;0,381679;;
130113;0700;;0,381679;;
130113;0800;;0,499542;;
130113;0900;;0,499542;;
130113;1000;;0,499542;;
130113;1100;;0,381679;;
130113;1200;;0,299725;;
130113;1300;;1,1989;;
130113;1400;;1,89826;;
130113;1500;;0,699359;;
130113;1600;;1,29881;;
130113;1700;;0,899176;;
130113;1800;;0,599449;;
130113;1900;;1,69844;;
130113;2000;;0,499542;;
130113;2100;;0,399634;;
130113;2200;;0,399634;;
130113;2300;;0,699359;;
130114;0000;;1,29881;;
130114;0100;;2,29789;;
130114;0200;;1,79835;;
130114;0300;;1,59853;;
130114;0400;;5,29514;;
130114;0500;;2,89734;;
130114;0600;;1,39872;;
130114;0700;;1,39872;;
130114;0800;;2,3978;;
130114;0900;;6,19431;;
130114;1000;;2,29789;;
130114;1100;;5,69476;;
130114;1200;;2,49771;;
130114;1300;;;;
130114;1400;;;;
130114;1500;;;;
130114;1600;;2,99725;;
130114;1700;;1,49863;;
130114;1800;;1,99817;;
130114;1900;;3,29698;;
130114;2000;;3,5967;;
130114;2100;;2,89734;;
130114;2200;;3,39689;;
130114;2300;;2,59762;;
130115;0000;;1,29881;;
130115;0100;;0,699359;;
130115;0200;;0,599449;;
130115;0300;;0,299725;;
130115;0400;;0,299725;;
130115;0500;;0,399634;;
130115;0600;;0,399634;;
130115;0700;;0,299725;;
130115;0800;;1,29881;;
130115;0900;;1,39872;;
130115;1000;;0,699359;;
130115;1100;;0,799267;;
130115;1200;;1,29881;;
130115;1300;;1,1989;;
130115;1400;;1,29881;;
130115;1500;;2,59762;;
130115;1600;;1,99817;;
130115;1700;;0,999084;;
130115;1800;;2,49771;;
130115;1900;;1,09899;;
130115;2000;;0,599449;;
130115;2100;;1,09899;;
130115;2200;;1,1989;;
130115;2300;;1,09899;;
130116;0000;;0,899176;;
130116;0100;;0,399634;;
130116;0200;;0,199817;;
130116;0300;;0,299725;;
130116;0400;;0,299725;;
130116;0500;;0,399634;;
130116;0600;;0,299725;;
130116;0700;;0,299725;;
130116;0800;;0,299725;;
130116;0900;;0,299725;;
130116;1000;;0,0999084;;
130116;1100;;0,199817;;
130116;1200;;0,0999084;;
130116;1300;;0;;
130116;1400;;0,0999084;;
130116;1500;;0,499542;;
130116;1600;;0,899176;;
130116;1700;;2,59762;;
