FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080512;1200;;;;
080512;1300;;;;
080512;1400;;;;
080512;1500;;;;
080512;1600;;;;
080512;1700;;;;
080512;1800;;;;
080512;1900;;;;
080512;2000;;;;
080512;2100;;;;
080512;2200;;;;
080512;2300;;;;
080513;0000;;;;
080513;0100;;;;
080513;0200;;;;
080513;0300;;;;
080513;0400;;;;
080513;0500;;;;
080513;0600;;;;
080513;0700;;;;
080513;0800;;;;
080513;0900;;;;
080513;1000;;;;
080513;1100;;;;
080513;1200;;;;
080513;1300;;;;
080513;1400;;;;
080513;1500;;;;
080513;1600;;;;
080513;1700;;;;
080513;1800;;;;
080513;1900;;;;
080513;2000;;;;
080513;2100;;;;
080513;2200;;;;
080513;2300;;;;
080514;0000;;;;
080514;0100;;;;
080514;0200;;;;
080514;0300;;;;
080514;0400;;;;
080514;0500;;;;
080514;0600;;;;
080514;0700;;;;
080514;0800;;;;
080514;0900;;;;
080514;1000;;;;
080514;1100;;;;
080514;1200;;;;
080514;1300;;;;
080514;1400;;;;
080514;1500;;;;
080514;1600;;;;
080514;1700;;;;
080514;1800;;;;
080514;1900;;;;
080514;2000;;;;
080514;2100;;;;
080514;2200;;;;
080514;2300;;;;
080515;0000;;;;
080515;0100;;;;
080515;0200;;;;
080515;0300;;;;
080515;0400;;;;
080515;0500;;;;
080515;0600;;;;
080515;0700;;;;
080515;0800;;;;
080515;0900;;;;
080515;1000;;;;
080515;1100;;;;
080515;1200;;;;
080515;1300;;;;
080515;1400;;;;
080515;1500;;;;
080515;1600;;;;
080515;1700;;;;
080515;1800;;;;
080515;1900;;;;
080515;2000;;;;
080515;2100;;;;
080515;2200;;;;
080515;2300;;;;
080516;0000;;;;
080516;0100;;;;
080516;0200;;;;
080516;0300;;;;
080516;0400;;;;
080516;0500;;;;
080516;0600;;;;
080516;0700;;;;
080516;0800;;;;
080516;0900;;;;
080516;1000;;;;
080516;1100;;;;
080516;1200;;;;
080516;1300;;;;
080516;1400;;;;
080516;1500;;;;
080516;1600;;;;
080516;1700;;;;
080516;1800;;;;
080516;1900;;;;
080516;2000;;;;
080516;2100;;;;
080516;2200;;;;
080516;2300;;;;
080517;0000;;;;
080517;0100;;;;
080517;0200;;;;
080517;0300;;;;
080517;0400;;;;
080517;0500;;;;
080517;0600;;;;
080517;0700;;;;
080517;0800;;;;
080517;0900;;;;
080517;1000;;;;
080517;1100;;;;
080517;1200;;;;
080517;1300;;;;
080517;1400;;;;
080517;1500;;;;
080517;1600;;;;
080517;1700;;;;
080517;1800;;;;
080517;1900;;;;
080517;2000;;;;
080517;2100;;;;
080517;2200;;;;
080517;2300;;;;
080518;0000;;;;
080518;0100;;;;
080518;0200;;;;
080518;0300;;;;
080518;0400;;;;
080518;0500;;;;
080518;0600;;;;
080518;0700;;;;
080518;0800;;;;
080518;0900;;;;
080518;1000;;;;
080518;1100;;;;
080518;1200;;;;
080518;1300;;;;
080518;1400;;;;
080518;1500;;;;
080518;1600;;;;
080518;1700;;;;
080518;1800;;;;
080518;1900;;;;
080518;2000;;;;
080518;2100;;;;
080518;2200;;;;
080518;2300;;;;
080519;0000;;;;
080519;0100;;;;
080519;0200;;;;
080519;0300;;;;
080519;0400;;;;
080519;0500;;;;
080519;0600;;;;
080519;0700;;;;
080519;0800;;;;
080519;0900;;;;
080519;1000;;;;
080519;1100;;;;
080519;1200;;;;
080519;1300;;;;
080519;1400;;;;
080519;1500;;;;
080519;1600;;;;
080519;1700;;;;
080519;1800;;;;
080519;1900;;;;
080519;2000;;;;
080519;2100;;;;
080519;2200;;;;
080519;2300;;;;
080520;0000;;;;
080520;0100;;;;
080520;0200;;;;
080520;0300;;;;
080520;0400;;;;
080520;0500;;;;
080520;0600;;;;
080520;0700;;;;
080520;0800;;;;
080520;0900;;;;
080520;1000;;;;
080520;1100;;;;
080520;1200;;;;
080520;1300;;;;
080520;1400;;;;
080520;1500;;;;
080520;1600;;;;
080520;1700;;;;
080520;1800;;;;
080520;1900;;;;
080520;2000;;;;
080520;2100;;;;
080520;2200;;;;
080520;2300;;;;
080521;0000;;;;
080521;0100;;;;
080521;0200;;;;
080521;0300;;;;
080521;0400;;;;
080521;0500;;;;
080521;0600;;;;
080521;0700;;;;
080521;0800;;;;
080521;0900;;;;
080521;1000;;;;
080521;1100;;;;
080521;1200;;;;
080521;1300;;;;
080521;1400;;;;
080521;1500;;;;
080521;1600;;;;
080521;1700;;;;
080521;1800;;;;
080521;1900;;;;
080521;2000;;;;
080521;2100;;;;
080521;2200;;;;
080521;2300;;;;
080522;0000;;;;
080522;0100;;;;
080522;0200;;;;
080522;0300;;;;
080522;0400;;;;
080522;0500;;;;
080522;0600;;;;
080522;0700;;;;
080522;0800;;;;
080522;0900;;;;
080522;1000;;;;
080522;1100;;;;
080522;1200;;;;
080522;1300;;;;
080522;1400;;;;
080522;1500;;;;
080522;1600;;;;
080522;1700;;;;
080522;1800;;;;
080522;1900;;;;
080522;2000;;;;
080522;2100;;;;
080522;2200;;;;
080522;2300;;;;
080523;0000;;;;
080523;0100;;;;
080523;0200;;;;
080523;0300;;;;
080523;0400;;;;
080523;0500;;;;
080523;0600;;;;
080523;0700;;;;
080523;0800;;;;
080523;0900;;;;
080523;1000;;;;
080523;1100;;;;
080523;1200;;;;
080523;1300;;;;
080523;1400;;;;
080523;1500;;;;
080523;1600;;;;
080523;1700;;;;
080523;1800;;;;
080523;1900;;;;
080523;2000;;;;
080523;2100;;;;
080523;2200;;;;
080523;2300;;;;
080524;0000;;;;
080524;0100;;;;
080524;0200;;;;
080524;0300;;;;
080524;0400;;;;
080524;0500;;;;
080524;0600;;;;
080524;0700;;;;
080524;0800;;;;
080524;0900;;;;
080524;1000;;;;
080524;1100;;;;
080524;1200;;;;
080524;1300;;;;
080524;1400;;;;
080524;1500;;;;
080524;1600;;;;
080524;1700;;;;
080524;1800;;;;
080524;1900;;;;
080524;2000;;;;
080524;2100;;;;
080524;2200;;;;
080524;2300;;;;
080525;0000;;;;
080525;0100;;;;
080525;0200;;;;
080525;0300;;;;
080525;0400;;;;
080525;0500;;;;
080525;0600;;;;
080525;0700;;;;
080525;0800;;;;
080525;0900;;;;
080525;1000;;;;
080525;1100;;;;
080525;1200;;;;
080525;1300;;;;
080525;1400;;;;
080525;1500;;;;
080525;1600;;;;
080525;1700;;;;
080525;1800;;;;
080525;1900;;;;
080525;2000;;;;
080525;2100;;;;
080525;2200;;;;
080525;2300;;;;
080526;0000;;;;
080526;0100;;;;
080526;0200;;;;
080526;0300;;;;
080526;0400;;;;
080526;0500;;;;
080526;0600;;;;
080526;0700;;;;
080526;0800;;;;
080526;0900;;;;
080526;1000;;;;
080526;1100;;;;
080526;1200;;;;
080526;1300;;;;
080526;1400;;;;
080526;1500;;;;
080526;1600;;;;
080526;1700;;;;
080526;1800;;;;
080526;1900;;;;
080526;2000;;;;
080526;2100;;;;
080526;2200;;;;
080526;2300;;;;
080527;0000;;;;
080527;0100;;;;
080527;0200;;;;
080527;0300;;;;
080527;0400;;;;
080527;0500;;;;
080527;0600;;;;
080527;0700;;;;
080527;0800;;;;
080527;0900;;;;
080527;1000;;;;
080527;1100;;;;
080527;1200;;;;
080527;1300;;;;
080527;1400;;;;
080527;1500;;;;
080527;1600;;;;
080527;1700;;;;
080527;1800;;;;
080527;1900;;;;
080527;2000;;;;
080527;2100;;;;
080527;2200;;;;
080527;2300;;;;
080528;0000;;;;
080528;0100;;;;
080528;0200;;;;
080528;0300;;;;
080528;0400;;;;
080528;0500;;;;
080528;0600;;;;
080528;0700;;;;
080528;0800;;;;
080528;0900;;;;
080528;1000;;;;
080528;1100;;;;
080528;1200;;;;
080528;1300;;;;
080528;1400;;;;
080528;1500;;;;
080528;1600;;;;
080528;1700;;;;
080528;1800;;;;
080528;1900;;;;
080528;2000;;;;
080528;2100;;;;
080528;2200;;;;
080528;2300;;;;
080529;0000;;;;
080529;0100;;;;
080529;0200;;;;
080529;0300;;;;
080529;0400;;;;
080529;0500;;;;
080529;0600;;;;
080529;0700;;;;
080529;0800;;;;
080529;0900;;;;
080529;1000;;;;
080529;1100;;;;
080529;1200;;;;
080529;1300;;;;
080529;1400;;;;
080529;1500;;;;
080529;1600;;;;
080529;1700;;;;
080529;1800;;;;
080529;1900;;;;
080529;2000;;;;
080529;2100;;;;
080529;2200;;;;
080529;2300;;;;
080530;0000;;;;
080530;0100;;;;
080530;0200;;;;
080530;0300;;;;
080530;0400;;;;
080530;0500;;;;
080530;0600;;;;
080530;0700;;;;
080530;0800;;;;
080530;0900;;;;
080530;1000;;;;
080530;1100;;;;
080530;1200;;;;
080530;1300;;;;
080530;1400;;;;
080530;1500;;;;
080530;1600;;;;
080530;1700;;;;
080530;1800;;;;
080530;1900;;;;
080530;2000;;;;
080530;2100;;;;
080530;2200;;;;
080530;2300;;;;
080531;0000;;;;
080531;0100;;;;
080531;0200;;;;
080531;0300;;;;
080531;0400;;;;
080531;0500;;;;
080531;0600;;;;
080531;0700;;;;
080531;0800;;;;
080531;0900;;;;
080531;1000;;;;
080531;1100;;;;
080531;1200;;;;
080531;1300;;;;
080531;1400;;;;
080531;1500;;;;
080531;1600;;;;
080531;1700;;;;
080531;1800;;;;
080531;1900;;;;
080531;2000;;;;
080531;2100;;;;
080531;2200;;;;
080531;2300;;;;
080601;0000;;;;
080601;0100;;;;
080601;0200;;;;
080601;0300;;;;
080601;0400;;;;
080601;0500;;;;
080601;0600;;;;
080601;0700;;;;
080601;0800;;;;
080601;0900;;;;
080601;1000;;;;
080601;1100;;;;
080601;1200;;;;
080601;1300;;;;
080601;1400;;;;
080601;1500;;;;
080601;1600;;;;
080601;1700;;;;
080601;1800;;;;
080601;1900;;;;
080601;2000;;;;
080601;2100;;;;
080601;2200;;;;
080601;2300;;;;
080602;0000;;;;
080602;0100;;;;
080602;0200;;;;
080602;0300;;;;
080602;0400;;;;
080602;0500;;;;
080602;0600;;;;
080602;0700;;;;
080602;0800;;;;
080602;0900;;;;
080602;1000;;;;
080602;1100;;;;
080602;1200;;;;
080602;1300;;;;
080602;1400;;;;
080602;1500;;;;
080602;1600;;;;
080602;1700;;;;
080602;1800;;;;
080602;1900;;;;
080602;2000;;;;
080602;2100;;;;
080602;2200;;;;
080602;2300;;;;
080603;0000;;;;
080603;0100;;;;
080603;0200;;;;
080603;0300;;;;
080603;0400;;;;
080603;0500;;;;
080603;0600;;;;
080603;0700;;;;
080603;0800;;;;
080603;0900;;;;
080603;1000;;;;
080603;1100;;;;
080603;1200;;;;
080603;1300;;;;
080603;1400;;;;
080603;1500;;;;
080603;1600;;;;
080603;1700;;;;
080603;1800;;;;
080603;1900;;;;
080603;2000;;;;
080603;2100;;;;
080603;2200;;;;
080603;2300;;;;
080604;0000;;;;
080604;0100;;;;
080604;0200;;;;
080604;0300;;;;
080604;0400;;;;
080604;0500;;;;
080604;0600;;;;
080604;0700;;;;
080604;0800;;;;
080604;0900;;;;
080604;1000;;;;
080604;1100;;;;
080604;1200;;;;
080604;1300;;;;
080604;1400;;;;
080604;1500;;;;
080604;1600;;;;
080604;1700;;;;
080604;1800;;;;
080604;1900;;;;
080604;2000;;;;
080604;2100;;;;
080604;2200;;;;
080604;2300;;;;
080605;0000;;;;
080605;0100;;;;
080605;0200;;;;
080605;0300;;;;
080605;0400;;;;
080605;0500;;;;
080605;0600;;;;
080605;0700;;;;
080605;0800;;;;
080605;0900;;;;
080605;1000;;;;
080605;1100;;;;
080605;1200;;;;
080605;1300;;;;
080605;1400;;;;
080605;1500;;;;
080605;1600;;;;
080605;1700;;;;
080605;1800;;;;
080605;1900;;;;
080605;2000;;;;
080605;2100;;;;
080605;2200;;;;
080605;2300;;;;
080606;0000;;;;
080606;0100;;;;
080606;0200;;;;
080606;0300;;;;
080606;0400;;;;
080606;0500;;;;
080606;0600;;;;
080606;0700;;;;
080606;0800;;;;
080606;0900;;;;
080606;1000;;;;
080606;1100;;;;
080606;1200;;;;
080606;1300;;;;
080606;1400;;;;
080606;1500;;;;
080606;1600;;;;
080606;1700;;;;
080606;1800;;;;
080606;1900;;;;
080606;2000;;;;
080606;2100;;;;
080606;2200;;;;
080606;2300;;;;
080607;0000;;;;
080607;0100;;;;
080607;0200;;;;
080607;0300;;;;
080607;0400;;;;
080607;0500;;;;
080607;0600;;;;
080607;0700;;;;
080607;0800;;;;
080607;0900;;;;
080607;1000;;;;
080607;1100;;;;
080607;1200;;;;
080607;1300;;;;
080607;1400;;;;
080607;1500;;;;
080607;1600;;;;
080607;1700;;;;
080607;1800;;;;
080607;1900;;;;
080607;2000;;;;
080607;2100;;;;
080607;2200;;;;
080607;2300;;;;
080608;0000;;;;
080608;0100;;;;
080608;0200;;;;
080608;0300;;;;
080608;0400;;;;
080608;0500;;;;
080608;0600;;;;
080608;0700;;;;
080608;0800;;;;
080608;0900;;;;
080608;1000;;;;
080608;1100;;;;
080608;1200;;;;
080608;1300;;;;
080608;1400;;;;
080608;1500;;;;
080608;1600;;;;
080608;1700;;;;
080608;1800;;;;
080608;1900;;;;
080608;2000;;;;
080608;2100;;;;
080608;2200;;;;
080608;2300;;;;
080609;0000;;;;
080609;0100;;;;
080609;0200;;;;
080609;0300;;;;
080609;0400;;;;
080609;0500;;;;
080609;0600;;;;
080609;0700;;;;
080609;0800;;;;
080609;0900;;;;
080609;1000;;;;
080609;1100;;;;
080609;1200;;;;
080609;1300;;;;
080609;1400;;;;
080609;1500;;;;
080609;1600;;;;
080609;1700;;;;
080609;1800;;;;
080609;1900;;;;
080609;2000;;;;
080609;2100;;;;
080609;2200;;;;
080609;2300;;;;
080610;0000;;;;
080610;0100;;;;
080610;0200;;;;
080610;0300;;;;
080610;0400;;;;
080610;0500;;;;
080610;0600;;;;
080610;0700;;;;
080610;0800;;;;
080610;0900;;;;
080610;1000;;;;
080610;1100;;;;
080610;1200;;;;
080610;1300;;;;
080610;1400;;;;
080610;1500;;;;
080610;1600;;;;
080610;1700;;;;
080610;1800;;;;
080610;1900;;;;
080610;2000;;;;
080610;2100;;;;
080610;2200;;;;
080610;2300;;;;
080611;0000;;;;
080611;0100;;;;
080611;0200;;;;
080611;0300;;;;
080611;0400;;;;
080611;0500;;;;
080611;0600;;;;
080611;0700;;;;
080611;0800;;;;
080611;0900;;;;
080611;1000;;;;
080611;1100;;;;
080611;1200;;;;
080611;1300;;;;
080611;1400;;;;
080611;1500;;;;
080611;1600;;;;
080611;1700;;;;
080611;1800;;;;
080611;1900;;;;
080611;2000;;;;
080611;2100;;;;
080611;2200;;;;
080611;2300;;;;
080612;0000;;;;
080612;0100;;;;
080612;0200;;;;
080612;0300;;;;
080612;0400;;;;
080612;0500;;;;
080612;0600;;;;
080612;0700;;;;
080612;0800;;;;
080612;0900;;;;
080612;1000;;;;
080612;1100;;;;
080612;1200;;;;
080612;1300;;;;
080612;1400;;;;
080612;1500;;;;
080612;1600;;;;
080612;1700;;;;
080612;1800;;;;
080612;1900;;;;
080612;2000;;;;
080612;2100;;;;
080612;2200;;;;
080612;2300;;;;
080613;0000;;;;
080613;0100;;;;
080613;0200;;;;
080613;0300;;;;
080613;0400;;;;
080613;0500;;;;
080613;0600;;;;
080613;0700;;;;
080613;0800;;;;
080613;0900;;;;
080613;1000;;;;
080613;1100;;;;
080613;1200;;;;
080613;1300;;;;
080613;1400;;;;
080613;1500;;;;
080613;1600;;;;
080613;1700;;;;
080613;1800;;;;
080613;1900;;;;
080613;2000;;;;
080613;2100;;;;
080613;2200;;;;
080613;2300;;;;
080614;0000;;;;
080614;0100;;;;
080614;0200;;;;
080614;0300;;;;
080614;0400;;;;
080614;0500;;;;
080614;0600;;;;
080614;0700;;;;
080614;0800;;;;
080614;0900;;;;
080614;1000;;;;
080614;1100;;;;
080614;1200;;;;
080614;1300;;;;
080614;1400;;;;
080614;1500;;;;
080614;1600;;;;
080614;1700;;;;
080614;1800;;;;
080614;1900;;;;
080614;2000;;;;
080614;2100;;;;
080614;2200;;;;
080614;2300;;;;
080615;0000;;;;
080615;0100;;;;
080615;0200;;;;
080615;0300;;;;
080615;0400;;;;
080615;0500;;;;
080615;0600;;;;
080615;0700;;;;
080615;0800;;;;
080615;0900;;;;
080615;1000;;;;
080615;1100;;;;
080615;1200;;;;
080615;1300;;;;
080615;1400;;;;
080615;1500;;;;
080615;1600;;;;
080615;1700;;;;
080615;1800;;;;
080615;1900;;;;
080615;2000;;;;
080615;2100;;;;
080615;2200;;;;
080615;2300;;;;
080616;0000;;;;
080616;0100;;;;
080616;0200;;;;
080616;0300;;;;
080616;0400;;;;
080616;0500;;;;
080616;0600;;;;
080616;0700;;;;
080616;0800;;;;
080616;0900;;;;
080616;1000;;;;
080616;1100;;;;
080616;1200;;;;
080616;1300;;;;
080616;1400;;;;
080616;1500;;;;
080616;1600;;;;
080616;1700;;;;
080616;1800;;;;
080616;1900;;;;
080616;2000;;;;
080616;2100;;;;
080616;2200;;;;
080616;2300;;;;
080617;0000;;;;
080617;0100;;;;
080617;0200;;;;
080617;0300;;;;
080617;0400;;;;
080617;0500;;;;
080617;0600;;;;
080617;0700;;;;
080617;0800;;;;
080617;0900;;;;
080617;1000;;;;
080617;1100;;;;
080617;1200;;;;
080617;1300;;;;
080617;1400;;;;
080617;1500;;;;
080617;1600;;;;
080617;1700;;;;
080617;1800;;;;
080617;1900;;;;
080617;2000;;;;
080617;2100;;;;
080617;2200;;;;
080617;2300;;;;
080618;0000;;;;
080618;0100;;;;
080618;0200;;;;
080618;0300;;;;
080618;0400;;;;
080618;0500;;;;
080618;0600;;;;
080618;0700;;;;
080618;0800;;;;
080618;0900;;;;
080618;1000;;;;
080618;1100;;;;
080618;1200;;;;
080618;1300;;;;
080618;1400;;;;
080618;1500;;;;
080618;1600;;;;
080618;1700;;;;
080618;1800;;;;
080618;1900;;;;
080618;2000;;;;
080618;2100;;;;
080618;2200;;;;
080618;2300;;;;
080619;0000;;;;
080619;0100;;;;
080619;0200;;;;
080619;0300;;;;
080619;0400;;;;
080619;0500;;;;
080619;0600;;;;
080619;0700;;;;
080619;0800;;;;
080619;0900;;;;
080619;1000;;;;
080619;1100;;;;
080619;1200;;;;
080619;1300;;;;
080619;1400;;;;
080619;1500;;;;
080619;1600;;;;
080619;1700;;;;
080619;1800;;;;
080619;1900;;;;
080619;2000;;;;
080619;2100;;;;
080619;2200;;;;
080619;2300;;;;
080620;0000;;;;
080620;0100;;;;
080620;0200;;;;
080620;0300;;;;
080620;0400;;;;
080620;0500;;;;
080620;0600;;;;
080620;0700;;;;
080620;0800;;;;
080620;0900;;;;
080620;1000;;;;
080620;1100;;;;
080620;1200;;;;
080620;1300;;;;
080620;1400;;;;
080620;1500;;;;
080620;1600;;;;
080620;1700;;;;
080620;1800;;;;
080620;1900;;;;
080620;2000;;;;
080620;2100;;;;
080620;2200;;;;
080620;2300;;;;
080621;0000;;;;
080621;0100;;;;
080621;0200;;;;
080621;0300;;;;
080621;0400;;;;
080621;0500;;;;
080621;0600;;;;
080621;0700;;;;
080621;0800;;;;
080621;0900;;;;
080621;1000;;;;
080621;1100;;;;
080621;1200;;;;
080621;1300;;;;
080621;1400;;;;
080621;1500;;;;
080621;1600;;;;
080621;1700;;;;
080621;1800;;;;
080621;1900;;;;
080621;2000;;;;
080621;2100;;;;
080621;2200;;;;
080621;2300;;;;
080622;0000;;;;
080622;0100;;;;
080622;0200;;;;
080622;0300;;;;
080622;0400;;;;
080622;0500;;;;
080622;0600;;;;
080622;0700;;;;
080622;0800;;;;
080622;0900;;;;
080622;1000;;;;
080622;1100;;;;
080622;1200;;;;
080622;1300;;;;
080622;1400;;;;
080622;1500;;;;
080622;1600;;;;
080622;1700;;;;
080622;1800;;;;
080622;1900;;;;
080622;2000;;;;
080622;2100;;;;
080622;2200;;;;
080622;2300;;;;
080623;0000;;;;
080623;0100;;;;
080623;0200;;;;
080623;0300;;;;
080623;0400;;;;
080623;0500;;;;
080623;0600;;;;
080623;0700;;;;
